iter	Passed	Remaining
323	1076	2245
324	1081	2247
325	1088	2250
326	1092	2247
327	1097	2248
328	1105	2254
329	1108	2249
330	1112	2247
331	1116	2246
332	1122	2248
333	1125	2244
334	1132	2248
335	1139	2252
336	1142	2248
337	1145	2242
338	1148	2240
339	1151	2234
340	1154	2230
341	1155	2223
342	1160	2222
343	1164	2220
344	1169	2219
345	1171	2215
346	1173	2208
347	1176	2204
348	1178	2198
349	1180	2192
350	1183	2187
351	1185	2182
352	1187	2175
353	1188	2168
354	1190	2162
355	1192	2157
356	1195	2153
357	1199	2151
358	1201	2145
359	1203	2139
360	1205	2133
361	1206	2127
362	1208	2120
363	1212	2118
364	1215	2114
365	1216	2107
366	1218	2102
367	1220	2096
368	1224	2094
369	1229	2093
370	1233	2090
371	1237	2089
372	1240	2084
373	1247	2087
374	1250	2084
375	1254	2081
376	1258	2079
377	1263	2078
378	1267	2076
379	1271	2075
380	1275	2072
381	1280	2071
382	1284	2069
383	1289	2068
384	1295	2069
385	1299	2067
386	1302	2063
387	1306	2060
388	1310	2058
389	1312	2053
390	1316	2050
391	1320	2047
392	1324	2045
393	1328	2043
394	1330	2037
395	1332	2032
396	1334	2027
397	1336	2022
398	1338	2016
399	1342	2014
400	1345	2009
401	1347	2003
402	1348	1998
403	1350	1992
404	1357	1994
405	1360	1989
406	1361	1984
407	1363	1978
408	1365	1973
409	1368	1969
410	1373	1968
411	1376	1964
412	1378	1959
413	1381	1955
414	1385	1952
415	1387	1947
416	1390	1944
417	1392	1939
418	1395	1935
419	1397	1929
420	1401	1926
421	1404	1923
422	1407	1919
423	1409	1914
424	1411	1909
425	1416	1908
426	1418	1903
427	1422	1901
428	1424	1896
429	1426	1891
430	1428	1885
431	1434	1885
432	1439	1884
433	1441	1879
434	1445	1877
435	1449	1874
436	1453	1873
437	1458	1871
438	1463	1870
439	1469	1870
440	1473	1867
441	1477	1865
442	1482	1863
443	1487	1862
444	1489	1857
445	1490	1851
446	1495	1850
447	1499	1847
448	1504	1846
449	1506	1841
450	1509	1838
451	1514	1835
452	1519	1834
453	1521	1829
454	1523	1824
455	1525	1820
456	1529	1817
457	1533	1814
458	1535	1810
459	1537	1805
460	1539	1799
461	1541	1795
462	1545	1792
463	1549	1789
464	1553	1786
465	1556	1783
466	1558	1778
467	1562	1775
468	1565	1772
469	1567	1767
470	1569	1762
471	1571	1757
472	1572	1752
473	1575	1748
474	1579	1745
475	1582	1742
476	1584	1737
477	1586	1732
478	1588	1727
479	1589	1722
480	1593	1719
481	1597	1716
482	1598	1711
483	1600	1706
484	1602	1701
485	1604	1696
486	1607	1693
487	1612	1691
488	1614	1687
489	1616	1682
490	1618	1677
491	1620	1673
492	1622	1669
493	1628	1668
494	1632	1665
495	1633	1660
496	1636	1656
497	1641	1654
498	1646	1652
499	1648	1648
500	1650	1643
501	1654	1641
502	1660	1641
503	1664	1637
504	1669	1636
505	1673	1633
506	1677	1630
507	1679	1626
508	1682	1622
509	1684	1618
510	1687	1614
511	1692	1612
512	1694	1608
513	1698	1605
514	1701	1602
515	1707	1601
516	1709	1597
517	1711	1592
518	1713	1587
519	1715	1583
520	1717	1578
521	1721	1576
522	1725	1573
523	1727	1569
524	1729	1564
525	1732	1561
526	1734	1556
527	1736	1552
528	1742	1551
529	1746	1549
530	1748	1544
531	1752	1541
532	1757	1539
533	1759	1535
534	1761	1530
535	1763	1526
536	1766	1522
537	1768	1518
538	1772	1515
539	1775	1512
540	1777	1508
541	1779	1503
542	1782	1500
543	1784	1495
544	1786	1491
545	1789	1487
546	1791	1483
547	1792	1478
548	1794	1474
549	1796	1470
550	1799	1466
551	1803	1463
552	1805	1459
553	1809	1456
554	1810	1451
555	1812	1447
556	1816	1444
557	1820	1442
558	1824	1439
559	1827	1435
560	1830	1432
561	1835	1430
562	1839	1427
563	1844	1425
564	1847	1422
565	1850	1418
566	1852	1414
567	1856	1412
568	1858	1407
569	1863	1405
570	1867	1402
571	1869	1398
572	1870	1394
573	1873	1390
574	1875	1386
575	1879	1383
576	1884	1381
577	1886	1377
578	1889	1373
579	1891	1369
580	1896	1367
581	1900	1365
582	1902	1360
583	1905	1357
584	1907	1353
585	1910	1350
586	1915	1347
587	1917	1343
588	1919	1339
589	1921	1335
590	1925	1332
591	1927	1328
592	1930	1325
593	1933	1321
594	1936	1318
595	1939	1314
596	1943	1311
597	1947	1308
598	1949	1304
599	1951	1300
600	1953	1296
601	1955	1293
602	1957	1289
603	1961	1285
604	1963	1281
605	1965	1277
606	1967	1273
607	1968	1269
608	1971	1265
609	1973	1261
610	1975	1257
611	1978	1254
612	1980	1250
613	1982	1246
614	1984	1242
615	1985	1237
616	1988	1234
617	1990	1230
618	1992	1226
619	1995	1222
620	1997	1219
621	2001	1216
622	2003	1212
623	2005	1208
624	2008	1204
625	2011	1201
626	2016	1199
627	2019	1196
628	2021	1192
629	2023	1188
630	2027	1185
631	2032	1183
632	2036	1180
633	2040	1178
634	2044	1175
635	2049	1172
636	2051	1168
637	2053	1164
638	2055	1161
639	2059	1158
640	2063	1155
641	2065	1151
642	2067	1147
643	2069	1143
644	2073	1141
645	2078	1138
646	2080	1135
647	2082	1131
648	2084	1127
649	2087	1124
650	2092	1122
651	2096	1118
652	2098	1114
653	2100	1111
654	2102	1107
655	2106	1104
656	2110	1101
657	2112	1097
658	2114	1093
659	2115	1089
660	2118	1086
661	2120	1082
662	2122	1078
663	2125	1075
664	2129	1072
665	2131	1068
666	2133	1064
667	2136	1062
668	2140	1059
669	2143	1055
670	2146	1052
671	2148	1048
672	2151	1045
673	2153	1041
674	2155	1037
675	2157	1034
676	2159	1030
677	2161	1026
678	2163	1022
679	2164	1018
680	2168	1015
681	2170	1011
682	2172	1008
683	2174	1004
684	2176	1000
685	2178	997
686	2180	993
687	2182	989
688	2184	986
689	2186	982
690	2188	978
691	2192	975
692	2194	972
693	2196	968
694	2200	965
695	2203	962
696	2208	960
697	2210	956
698	2212	952
699	2214	949
700	2218	946
701	2223	943
702	2226	940
703	2232	938
704	2235	935
705	2239	932
706	2241	928
707	2243	925
708	2245	921
709	2252	919
710	2257	917
711	2259	914
712	2262	910
713	2265	907
714	2270	905
715	2273	901
716	2274	897
717	2276	894
718	2281	891
719	2286	889
720	2288	885
721	2290	881
722	2292	878
723	2294	874
724	2298	871
725	2301	868
726	2303	865
727	2305	861
728	2307	857
729	2309	854
730	2312	851
731	2314	847
732	2316	843
733	2320	841
734	2323	837
735	2325	834
736	2329	831
737	2334	828
738	2336	825
739	2340	822
740	2347	820
741	2349	816
742	2351	813
743	2353	809
744	2355	806
745	2357	802
746	2360	799
747	2362	796
748	2364	792
749	2366	788
750	2368	785
751	2370	781
752	2372	778
753	2376	775
754	2378	771
755	2379	768
756	2381	764
757	2383	760
758	2385	757
759	2390	754
760	2395	752
761	2399	749
762	2401	746
763	2403	742
764	2406	739
765	2410	736
766	2413	733
767	2415	729
768	2420	727
769	2425	724
770	2431	722
771	2435	719
772	2437	715
773	2441	712
774	2445	710
775	2449	707
776	2453	704
777	2457	701
778	2460	698
779	2472	697
780	2476	694
781	2480	691
782	2483	688
783	2487	685
784	2490	682
785	2492	678
786	2494	675
787	2496	671
788	2498	668
789	2500	664
790	2504	661
791	2506	658
792	2507	654
793	2509	651
794	2511	647
795	2513	644
796	2518	641
797	2521	638
798	2525	635
799	2527	631
800	2529	628
801	2531	624
802	2533	621
803	2536	618
804	2538	614
805	2540	611
806	2542	608
807	2544	604
808	2546	601
809	2548	597
810	2552	594
811	2554	591
812	2556	587
813	2558	584
814	2560	581
815	2561	577
816	2563	574
817	2566	571
818	2568	567
819	2570	564
820	2572	560
821	2574	557
822	2576	554
823	2577	550
824	2582	547
825	2584	544
826	2586	541
827	2588	537
828	2590	534
829	2592	530
830	2596	528
831	2601	525
832	2604	522
833	2606	518
834	2608	515
835	2612	512
836	2617	509
837	2622	506
838	2624	503
839	2628	500
840	2633	497
841	2637	494
842	2640	491
843	2643	488
844	2648	485
845	2651	482
846	2653	479
847	2655	476
848	2657	472
849	2659	469
850	2662	466
851	2665	463
852	2670	460
853	2675	457
854	2679	454
855	2683	451
856	2686	448
857	2687	444
858	2689	441
859	2691	438
860	2695	435
861	2696	431
862	2698	428
863	2700	425
864	2702	421
865	2704	418
866	2708	415
867	2712	412
868	2715	409
869	2719	406
870	2720	402
871	2722	399
872	2725	396
873	2728	393
874	2730	390
875	2733	386
876	2736	383
877	2738	380
878	2740	377
879	2743	374
880	2745	370
881	2747	367
882	2749	364
883	2750	360
884	2752	357
885	2754	354
886	2758	351
887	2760	348
888	2761	344
889	2764	341
890	2766	338
891	2767	335
892	2769	331
893	2772	328
894	2775	325
895	2779	322
896	2781	319
897	2783	316
898	2786	313
899	2791	310
900	2795	307
901	2798	304
902	2800	300
903	2806	298
904	2810	295
905	2812	291
906	2816	288
907	2819	285
908	2823	282
909	2827	279
910	2829	276
911	2831	273
912	2835	270
913	2839	267
914	2841	263
915	2843	260
916	2845	257
917	2848	254
918	2850	251
919	2854	248
920	2856	245
921	2860	241
922	2864	238
923	2868	235
924	2871	232
925	2875	229
926	2877	226
927	2878	223
928	2880	220
929	2882	216
930	2887	213
931	2889	210
932	2891	207
933	2893	204
934	2895	201
935	2896	198
936	2899	194
937	2904	191
938	2906	188
939	2908	185
940	2910	182
941	2912	179
942	2914	176
943	2918	173
944	2922	170
945	2925	166
946	2926	163
947	2928	160
948	2930	157
949	2934	154
950	2935	151
951	2938	148
952	2940	144
953	2941	141
954	2943	138
955	2945	135
956	2949	132
957	2951	129
958	2953	126
959	2955	123
960	2957	120
961	2958	116
962	2960	113
963	2962	110
964	2966	107
965	2969	104
966	2973	101
967	2975	98
968	2976	95
969	2979	92
970	2983	89
971	2986	86
972	2989	82
973	2991	79
974	2997	76
975	3001	73
976	3004	70
977	3006	67
978	3008	64
979	3013	61
980	3016	58
981	3020	55
982	3022	52
983	3024	49
984	3026	46
985	3030	43
986	3032	39
987	3034	36
988	3036	33
989	3040	30
990	3044	27
991	3047	24
992	3049	21
993	3051	18
994	3056	15
995	3061	12
996	3064	9
997	3068	6
998	3069	3
999	3071	0
